nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,nwp_winddirection,nwp_pressure,lmd_totalirrad,lmd_diffuseirrad,lmd_temperature,lmd_pressure,lmd_winddirection,lmd_windspeed,power,label
0.0,0.0,22.78,96.85,4.28,339.41,1007.27,0,0,25.9,1006.299988,353,1.1,0.0,0
0.0,0.0,22.75,96.91,4.3,337.27,1007.27,0,0,25.9,1006.200012,330,0.9,0.0,0
0.0,0.0,22.71,96.95,4.28,334.47,1007.48,0,0,25.799999,1006.299988,1,1.9,0.0,0
0.0,0.0,22.64,97.12,4.28,331.52,1007.39,0,0,25.6,1006.299988,309,0.4,0.0,0
0.0,0.0,22.57,97.15,4.33,329.78,1007.09,0,0,25.700001,1006.299988,335,1.6,0.0,0
0.0,0.0,22.6,96.69,4.39,330.4,1006.87,0,0,25.700001,1006.299988,343,1.1,0.0,0
0.0,0.0,22.62,96.03,4.44,333.71,1006.94,0,0,25.5,1006.099976,5,1.4,0.0,0
0.0,0.0,22.69,94.98,4.55,336.65,1007.04,0,0,25.5,1006.400024,342,1.5,0.0,0
0.0,0.0,22.69,94.05,4.74,336.21,1006.91,0,0,25.6,1006.200012,331,2.5,0.0,0
0.0,0.0,22.78,92.49,5.0,335.46,1006.93,0,0,25.700001,1006.099976,359,2.8,0.0,0
0.0,0.0,22.91,90.46,5.31,336.83,1006.85,0,0,25.700001,1006.0,344,1.8,0.0,0
0.0,0.0,23.13,87.78,5.66,340.38,1006.97,0,0,25.4,1006.0,344,1.9,0.0,0
0.0,0.0,23.39,84.78,6.01,344.65,1006.96,0,0,25.4,1005.900024,336,1.0,0.0,0
0.0,0.0,23.6,81.98,6.32,348.1,1006.89,0,0,25.5,1005.900024,6,0.7,0.0,0
0.0,0.0,23.75,79.86,6.57,352.68,1006.9,0,0,25.6,1005.900024,343,1.7,0.0,0
0.0,0.0,23.84,78.42,6.75,357.85,1007.03,0,0,25.9,1005.900024,352,3.0,0.0,0
0.0,0.0,23.91,77.36,6.83,1.98,1007.13,0,0,26.200001,1005.799988,23,0.9,0.0,0
0.0,0.0,23.94,76.4,6.89,4.39,1006.95,0,0,26.0,1005.799988,40,2.7,0.0,0
0.0,0.0,24.0,75.31,7.07,6.76,1006.93,0,0,26.1,1005.900024,19,3.1,0.0,0
0.0,0.0,24.09,74.09,7.34,8.22,1006.97,0,0,26.0,1005.900024,20,2.2,0.0,0
0.0,0.0,24.17,72.82,7.59,10.48,1007.04,0,0,26.0,1006.0,19,2.0,0.0,0
0.0,0.0,24.21,71.67,7.78,12.26,1006.99,0,0,25.9,1006.0,353,1.4,0.0,0
0.0,0.0,24.24,70.67,7.97,13.03,1006.83,0,0,25.9,1006.200012,340,1.4,0.0,0
0.09,0.0,24.28,69.79,8.14,13.23,1006.67,0,0,25.6,1006.200012,354,0.8,0.0,0
0.91,0.0,24.31,69.09,8.18,14.19,1006.6,2,2,25.6,1006.400024,351,1.5,0.0,0
2.43,0.0,24.3,68.69,8.01,17.74,1006.71,6,5,25.700001,1006.599976,15,1.7,0.0,0
3.2,0.0,24.27,68.53,7.76,22.42,1006.97,7,6,25.700001,1006.799988,343,1.5,0.0,0
5.19,0.0,24.21,68.58,7.65,24.03,1007.27,7,4,25.0,1007.0,1,1.9,0.0,0
4.66,0.0,24.18,68.36,7.75,22.35,1007.54,15,11,24.799999,1007.099976,18,0.6,0.06328099999999999,0
4.97,0.0,24.16,68.0,7.98,19.87,1007.63,35,29,25.1,1007.099976,5,2.0,0.182812,0
5.0,0.0,24.11,67.94,8.19,18.96,1007.83,24,20,25.1,1007.299988,63,2.2,0.130078,0
4.12,0.0,24.0,68.37,8.26,19.6,1008.01,39,32,24.6,1007.400024,1,1.3,0.221484,0
3.89,0.0,23.92,68.33,8.17,21.29,1008.15,85,71,24.700001,1007.5,359,1.4,0.485156,0
4.03,0.0,23.83,68.9,7.99,22.37,1008.36,66,53,25.1,1007.400024,5,1.6,0.400781,0
4.5,0.0,23.65,70.41,7.83,22.62,1008.48,63,48,25.1,1007.400024,47,2.9,0.379687,0
7.15,0.0,23.35,72.71,7.72,23.06,1008.53,67,48,24.799999,1007.700012,16,2.5,0.435937,0
8.42,0.0,23.01,75.44,7.68,23.62,1008.64,65,49,24.799999,1007.900024,38,3.3,0.379687,0
6.27,0.0,22.74,76.99,7.75,24.5,1008.65,123,89,24.799999,1007.799988,359,3.0,0.73125,0
6.95,0.0,22.52,78.26,7.85,25.82,1008.63,161,121,25.0,1007.900024,15,2.0,1.001953,0
7.79,0.0,22.31,79.8,7.85,27.67,1008.59,346,230,25.5,1008.0,11,2.4,2.3695310000000003,0
8.38,0.0,22.17,80.99,7.73,28.57,1008.59,357,289,26.1,1008.0,35,4.2,2.08125,0
8.78,0.0,22.05,82.25,7.51,28.68,1008.64,300,216,26.4,1008.099976,3,2.8,1.719141,0
11.7,0.0,22.05,82.41,7.23,29.51,1008.73,281,212,26.4,1008.200012,50,2.1,1.6804689999999998,0
